# Keymap file
# Format:
# Computer-name followed by <tab> followed by english-name
# This file is the output of the command:
# xsetwacom list mod
SHIFT	Shift Key
CTRL	Ctrl Key
CONTROL	Control Key
META	Meta Key
ALT	Alt Key
SUPER	Super (Windows Logo) Key
HYPER	Hyper Key
F1	F1
F2	F2
F3	F3
F4	F4
F5	F5
F6	F6
F7	F7
F8	F8
F9	F9
F10	F10
F11	F11
F12	F12
Esc	Esc
Tab	Tab
CapsLock	Caps Lock
Pause	Pause
ScrollLock	Scroll Lock
SysReq	SysReq
Home	Home
PageUp	Page Up
PageDown	Page Down
End	End
Insert	Insert
Delete	Delete
Left	Left
Up	Up
Down	Down
Right	Right
BackSpace	BackSpace
Enter	Enter
NumLock	Num Lock
space	Spacebar
quotedbl	Quotation Mark
backslash	Backslash
KPHome	KeyPad Home
PgUp	KeyPad Page Up
PgDn	KeyPad Page Dn
KPEnd	KeyPad End
Ins	KeyPad Ins
Del	KeyPad Del
KPLeft	KeyPad Left
KPUp	KeyPad Up
KPDown	KeyPad Down
KPRight	KeyPad Right
KPEnter	KeyPad Enter
Plus	Plus
Minus	Minus
Divide	Divide
Multiply	Multiply
NumpadPlus	Numpad Plus
NumpadMinus	Numpad Minus
NumpadDivide	Numpad Divide
NumpadMultiply	Numpad Multiply
break	Break
print	Print

